"meal","amount","Cal","CHO","Fat","Pro","Type"
"D11",350,396.5,228.400001528,102.600001926,66.000000956,"D1"
"D12",465,381.274888774553,180.115144803287,103.912013345928,97.4266413203148,"D1"
"D13",465,381.274888774553,180.115144803287,103.912013345928,97.4266413203148,"D1"
"D1_total",1280,1159.04977754911,588.630291134575,310.424028617855,260.85328359663,"D1"
"D1_ratio",NA,NA,0.507855920027245,0.267826313097846,0.225057878142406,"D1"
"D11",400,379,212.999999992,107.100001521,57.200000286,"D2"
"D12",505,445.337929513625,167.293182970289,171.699299489829,109.608923508362,"D2"
"D13",505,445.337929513625,167.293182970289,171.699299489829,109.608923508362,"D2"
"D1_total",1410,1269.67585902725,547.586365932578,450.498600500657,276.417847302724,"D2"
"D1_ratio",NA,NA,0.431280442200504,0.354813866308998,0.217707413539782,"D2"
"D11",400,320,133,116.100001926,71.999999998,"D3"
"D12",365,386.686562352868,154.026324974887,158.340474420994,74.3189285406498,"D3"
"D13",365,386.686562352868,154.026324974887,158.340474420994,74.3189285406498,"D3"
"D1_total",1130,1093.37312470574,441.052649949775,432.780950767988,220.6378570793,"D3"
"D1_ratio",NA,NA,0.40338713288611,0.395821829701973,0.201795573801652,"D3"
"D11",400,320,133,116.100001926,71.999999998,"D4"
"D12",525,481.417599755005,192.09271072421,134.954283088913,154.781503644942,"D4"
"D13",525,481.417599755005,192.09271072421,134.954283088913,154.781503644942,"D4"
"D1_total",1450,1282.83519951001,517.18542144842,386.008568103825,381.563007287884,"D4"
"D1_ratio",NA,NA,0.40315811543522,0.300902694478032,0.2974372759912,"D4"
"D11",400,379,212.999999992,107.100001521,57.200000286,"D5"
"D12",525,434.489734069561,160.821411944103,128.104575020305,153.427743983915,"D5"
"D13",525,434.489734069561,160.821411944103,128.104575020305,153.427743983915,"D5"
"D1_total",1450,1247.97946813912,534.642823880205,363.309151561609,364.055488253829,"D5"
"D1_ratio",NA,NA,0.428406746689044,0.291117891629535,0.291715927664,"D5"
