Type,meal,PID,amount
D1,D11,P48,200
D1,D11,P35,50
D1,D11,P653,50
D1,D11,P782,50
D1,D21,P44,225
D1,D31,P579,100
D1,D31,P823,20
D1,D31,P191,20
D1,D31,P1092,1
D1,D41,P906,100
D1,D41,P525,10
D1,D41,P1092,1
D1,D51,P215,100
D1,D51,P223,50
D1,D51,P1092,2
D2,D11,P69,200
D2,D11,P187,100
D2,D11,P653,50
D2,D11,P782,50
D2,D21,P44,225
D2,D31,P462,100
D2,D31,P918,50
D2,D31,P1092,1
D2,D41,P239,50
D2,D41,P218,10
D2,D41,P1092,1
D2,D51,P893,150
D2,D51,P663,40
D2,D51,P1092,2
D3,D11,P111,200
D3,D11,P77,100
D3,D11,P653,50
D3,D11,P782,50
D3,D21,P44,225
D3,D31,P548,80
D3,D31,P939,5
D3,D31,P1092,1
D3,D41,P857,50
D3,D41,P653,50
D3,D41,P1092,1
D3,D51,P890,150
D3,D51,P248,50
D3,D51,P1092,1
D4,D11,P111,200
D4,D11,P77,100
D4,D11,P653,50
D4,D11,P782,50
D4,D21,P44,225
D4,D31,P1020,100
D4,D31,P1092,2
D4,D41,P95,20
D4,D41,P936,50
D4,D41,P1092,1
D4,D51,P856,100
D4,D51,P172,100
D4,D51,P1092,2
D5,D11,P69,200
D5,D11,P187,100
D5,D11,P653,50
D5,D11,P782,50
D5,D21,P44,225
D5,D31,P1052,100
D5,D31,P1092,1
D5,D41,P145,20
D5,D41,P237,50
D5,D41,P1092,2
D5,D51,P215,200
D5,D51,P840,5
D5,D51,P1092,3
